Index,Time (mS),Used RAM (MB),Total RAM (MB),Number of Free RAM Blocks,Size of Free RAM Blocks (MB),CPU Frequency (MHz),CPU 0 Load (%),CPU 1 Load (%),CPU 2 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU 6 Load (%),CPU 7 Load (%),CPU 8 Load (%),CPU 9 Load (%),CPU 10 Load (%),CPU 11 Load (%),APE frequency (MHz),Used GR3D (%),GR3D Frequency (MHz), Temperature (C),CPU Temperature (C),GPU Temperature (C),tj Temperature (C)
0,0,18220.0,24402.0,872.0,4.0,2009.0,48,29,38,28,34,37,35,47,28,44,32,37,81.0,99.0,1274.0,70.968,74.343,78.937,78.937
1,1000,18221.0,24402.0,872.0,4.0,2009.0,53,35,34,32,40,38,48,33,38,52,45,37,81.0,93.0,1274.0,71.218,74.812,79.687,79.687
2,2000,18221.0,24402.0,871.0,4.0,2009.0,53,33,34,30,35,33,33,35,27,32,46,33,81.0,99.0,1274.0,71.156,74.343,79.562,79.562
3,3000,18219.0,24402.0,871.0,4.0,1906.0,51,33,29,30,38,37,45,34,28,44,39,36,81.0,99.0,1274.0,71.156,74.531,79.468,79.468
4,4000,18219.0,24402.0,871.0,4.0,2009.0,49,30,23,28,36,37,40,37,34,36,53,28,81.0,99.0,1274.0,71.187,74.375,80.0,80.0
5,5000,18210.0,24402.0,871.0,4.0,2009.0,48,29,33,22,31,37,36,34,37,36,38,53,81.0,99.0,1274.0,71.25,75.062,78.937,78.937
6,6000,18219.0,24402.0,871.0,4.0,2009.0,50,29,29,33,32,28,36,34,40,31,39,49,81.0,76.0,1274.0,71.0,74.843,79.906,79.906
7,7000,18222.0,24402.0,871.0,4.0,2009.0,52,30,37,32,36,33,33,35,49,34,43,43,81.0,99.0,1274.0,71.031,74.562,79.781,79.781
8,8000,18221.0,24402.0,871.0,4.0,2009.0,49,31,30,39,36,35,44,42,30,29,32,50,81.0,76.0,1274.0,71.031,74.437,79.562,79.562
9,9000,18220.0,24402.0,871.0,4.0,2009.0,52,27,30,29,33,37,43,38,38,46,36,30,81.0,99.0,1274.0,71.031,74.718,79.656,79.656
10,10000,18221.0,24402.0,871.0,4.0,2007.0,49,46,31,28,35,45,36,40,39,36,36,34,81.0,98.0,1274.0,71.281,74.593,79.218,79.218
11,11000,18220.0,24402.0,871.0,4.0,2009.0,49,26,34,30,33,33,50,37,35,35,27,40,81.0,73.0,1274.0,71.312,74.781,80.062,80.062
12,12000,18218.0,24402.0,871.0,4.0,2009.0,52,33,27,32,35,35,50,40,63,42,35,38,81.0,99.0,1274.0,71.25,74.968,79.5,79.5
13,13000,18219.0,24402.0,871.0,4.0,2008.0,51,31,33,40,33,41,55,34,35,50,34,34,81.0,97.0,1274.0,71.187,75.312,79.468,79.468
14,14000,18214.0,24402.0,871.0,4.0,2009.0,54,38,33,38,32,42,37,56,31,37,34,31,81.0,99.0,1274.0,71.031,74.687,79.781,79.781
15,15000,18220.0,24402.0,871.0,4.0,2009.0,50,38,29,33,33,35,39,50,30,32,30,34,81.0,99.0,1274.0,71.0,74.406,78.968,78.968
16,16000,18220.0,24402.0,871.0,4.0,2009.0,49,26,27,30,40,40,37,37,31,55,36,35,81.0,82.0,1274.0,71.156,74.75,80.062,80.062
17,17000,18220.0,24402.0,871.0,4.0,2009.0,52,40,41,35,32,33,34,30,37,47,34,36,81.0,99.0,1274.0,71.375,74.375,79.468,79.468
18,18000,18221.0,24402.0,871.0,4.0,2009.0,50,35,42,32,38,38,33,38,36,27,45,31,81.0,84.0,1274.0,71.187,74.656,79.437,79.437
19,19000,18221.0,24402.0,871.0,4.0,2009.0,52,27,37,31,34,39,33,30,37,37,50,33,81.0,99.0,1274.0,71.375,74.437,79.937,79.937
20,20000,18219.0,24402.0,871.0,4.0,2009.0,49,28,30,35,33,32,39,41,36,37,41,46,81.0,98.0,1274.0,71.187,74.843,78.968,78.968
21,21000,18220.0,24402.0,871.0,4.0,2009.0,54,36,36,33,37,35,37,38,35,37,45,33,81.0,84.0,1274.0,71.218,74.593,79.968,79.968
22,22000,18220.0,24402.0,871.0,4.0,2009.0,49,30,29,38,37,35,41,31,47,35,30,32,81.0,99.0,1274.0,71.187,74.75,79.562,79.562
23,23000,18220.0,24402.0,871.0,4.0,2008.0,52,28,29,26,39,38,37,37,40,43,34,47,81.0,95.0,1274.0,71.25,74.937,79.656,79.656
24,24000,18223.0,24402.0,871.0,4.0,2007.0,54,36,37,32,35,36,29,37,31,34,37,48,81.0,99.0,1274.0,71.187,75.156,79.875,79.875
25,25000,18221.0,24402.0,871.0,4.0,2009.0,49,27,28,28,37,33,34,32,37,37,44,48,81.0,99.0,1274.0,71.156,74.968,79.343,79.343
